name	term	lev	seq	value
"Golgi apparatus"	GO:0005794	2	LOC111107485	0
"Golgi apparatus"	GO:0005794	2	LOC111111248	0
"Golgi apparatus"	GO:0005794	2	LOC111112006	0
"Golgi apparatus"	GO:0005794	2	LOC111113027	0
"Golgi apparatus"	GO:0005794	2	LOC111119407	0
"Golgi apparatus"	GO:0005794	2	LOC111119408	0
"Golgi apparatus"	GO:0005794	2	LOC111119729	0
"Golgi apparatus"	GO:0005794	2	LOC111119735	0
"Golgi apparatus"	GO:0005794	2	LOC111119991	0
"Golgi apparatus"	GO:0005794	2	LOC111120132	0
"Golgi apparatus"	GO:0005794	2	LOC111121413	0
"Golgi apparatus"	GO:0005794	2	LOC111122020	0
"Golgi apparatus"	GO:0005794	2	LOC111123128	0
"Golgi apparatus"	GO:0005794	2	LOC111123418	0
"Golgi apparatus"	GO:0005794	2	LOC111123657	0
"Golgi apparatus"	GO:0005794	2	LOC111124247	0
"Golgi apparatus"	GO:0005794	2	LOC111124692	0
"Golgi apparatus"	GO:0005794	2	LOC111124716	0
"Golgi apparatus"	GO:0005794	2	LOC111125808	0
"Golgi apparatus"	GO:0005794	2	LOC111128245	0
"Golgi apparatus"	GO:0005794	2	LOC111128359	0
"Golgi apparatus"	GO:0005794	2	LOC111128900	0
"Golgi apparatus"	GO:0005794	2	LOC111129017	0
"Golgi apparatus"	GO:0005794	2	LOC111130009	0
"Golgi apparatus"	GO:0005794	2	LOC111130040	0
"Golgi apparatus"	GO:0005794	2	LOC111130286	0
"Golgi apparatus"	GO:0005794	2	LOC111130425	0
"Golgi apparatus"	GO:0005794	2	LOC111131478	0
"Golgi apparatus"	GO:0005794	2	LOC111131863	0
"Golgi apparatus"	GO:0005794	2	LOC111131871	0
"Golgi apparatus"	GO:0005794	2	LOC111133062	0
"Golgi apparatus"	GO:0005794	2	LOC111133784	0
"Golgi apparatus"	GO:0005794	2	LOC111134059	0
"Golgi apparatus"	GO:0005794	2	LOC111134347	0
"Golgi apparatus"	GO:0005794	2	LOC111134520	0
"Golgi apparatus"	GO:0005794	2	LOC111134570	0
"Golgi apparatus"	GO:0005794	2	LOC111135098	0
"Golgi apparatus"	GO:0005794	2	LOC111135221	0
"Golgi apparatus"	GO:0005794	2	LOC111135350	0
"Golgi apparatus"	GO:0005794	2	LOC111135380	0
"Golgi apparatus"	GO:0005794	2	LOC111135414	0
"Golgi apparatus"	GO:0005794	2	LOC111135578	0
"Golgi apparatus"	GO:0005794	2	LOC111136830	0
"Golgi apparatus"	GO:0005794	2	LOC111136845	0
"Golgi apparatus"	GO:0005794	2	LOC111137206	0
"Golgi apparatus"	GO:0005794	2	LOC111137727	0
"Golgi apparatus"	GO:0005794	2	LOC111137927	0
"nucleolus"	GO:0005730	2	LOC111099864	0
"nucleolus"	GO:0005730	2	LOC111103287	0
"nucleolus"	GO:0005730	2	LOC111104803	0
"nucleolus"	GO:0005730	2	LOC111105250	0
"nucleolus"	GO:0005730	2	LOC111105251	0
"nucleolus"	GO:0005730	2	LOC111107528	0
"nucleolus"	GO:0005730	2	LOC111108692	0
"nucleolus"	GO:0005730	2	LOC111108692	0
"nucleolus"	GO:0005730	2	LOC111108729	0
"nucleolus"	GO:0005730	2	LOC111112550	0
"nucleolus"	GO:0005730	2	LOC111113216	0
"nucleolus"	GO:0005730	2	LOC111119138	0
"nucleolus"	GO:0005730	2	LOC111120507	0
"nucleolus"	GO:0005730	2	LOC111120507	0
"nucleolus"	GO:0005730	2	LOC111123979	0
"nucleolus"	GO:0005730	2	LOC111125134	0
"nucleolus"	GO:0005730	2	LOC111125463	0
"nucleolus"	GO:0005730	2	LOC111127020	0
"nucleolus"	GO:0005730	2	LOC111127723	0
"nucleolus"	GO:0005730	2	LOC111129080	0
"nucleolus"	GO:0005730	2	LOC111131100	0
"nucleolus"	GO:0005730	2	LOC111131100	0
"nucleolus"	GO:0005730	2	LOC111131100	0
"nucleolus"	GO:0005730	2	LOC111131116	0
"nucleolus"	GO:0005730	2	LOC111132028	0
"nucleolus"	GO:0005730	2	LOC111133940	0
"nucleolus"	GO:0005730	2	LOC111134031	0
"nucleolus"	GO:0005730	2	LOC111134031	0
"nucleolus"	GO:0005730	2	LOC111134031	0
"nucleolus"	GO:0005730	2	LOC111135382	0
"nucleolus"	GO:0005730	2	LOC111137525	0
"nucleolus"	GO:0005730	2	LOC111138302	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111103623	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111108274	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111108428	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111110868	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111119057	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111120761	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111122621	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111123641	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111126564	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111130743	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111131466	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111131466	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111134784	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111136341	0
"peroxisome"	GO:0005777;GO:0042579	3	LOC111136762	0
"external encapsulating structure"	GO:0030312;GO:0031012	2	LOC111102833	0
