GO:0008135;GO:0090079;GO:0045182	GO:0016887	GO:0004518	GO:0004386;GO:0140640;GO:0140657	GO:0016791;GO:0042578;GO:0016788	GO:0016779	GO:0016757	GO:0003723	GO:0016798	GO:0022857;GO:0005215	GO:0016829	GO:0016853	GO:0008168;GO:0016741	GO:0019899	GO:0051082	GO:0005198	GO:0005515	GO:0003735	GO:0032182	GO:0030234;GO:0098772	GO:0016491	GO:0016765	GO:0003677	GO:0008134	GO:0008233;GO:0140096	GO:0017111;GO:0016462;GO:0016818;GO:0016817;GO:0003924	GO:0019843	GO:0008289	GO:0016874	GO:0016810	GO:0016301;GO:0016772	GO:0008092	GO:0003729	GO:0003700;GO:0140110	GO:0016746
0.242	0.505	0.618	0.451	0.796	0.473	0.766	0.800	0.621	0.881	0.635	0.354	0.640	0.815	-0.438	0.806	0.913	0.688	-0.917	0.790	0	-0.238	0.812	-2.833	0.784	0.700	-3.600	0.782	0.508	0.293	0.852	0.860	-1.667	0.844	0.558
0.905	-0.238	0.714	0.667	-0.238	0.190	0.048	0.619	0.857	0.381	0.714	0.810	0.667	0.762	0.875	0.810	0.619	0.905	0.833	0.810	-0.238	0	-1.333	0.667	-2.000	-1.333	0.600	0.810	0.714	0.619	-0.619	0.810	0.778	0.667	0.667
-0.485	0.113	0.224	-0.235	0.673	-0.257	0.649	0.659	0.212	0.848	0.270	-0.062	0.371	0.636	-2.062	0.604	0.815	0.363	-2.917	0.650	0.812	-1.333	0	-7.000	0.725	0.532	-8.600	0.564	0.169	-0.317	0.762	0.704	-4.222	0.098	0.299
1.000	-3.000	0.333	0.167	-3.000	-1.500	-1.833	-0.167	1.000	-0.833	0.333	0.833	0.333	0.500	1.000	0.667	-1.000	1.000	1.000	0.667	-2.833	0.667	-7.000	0	-9.167	-6.833	1.000	0.667	0.333	0.167	-4.333	0.667	1.000	0.167	0.333
-0.848	0.113	0.132	-0.294	0.645	-0.027	0.610	0.632	0.076	0.821	0.122	-0.312	0.258	0.563	-2.812	0.556	0.796	0.225	-4.333	0.554	0.784	-2.000	0.725	-9.167	0	0.540	-11.200	0.526	0.000	-0.634	0.757	0.661	-5.778	0.705	0.156
-0.515	-0.485	0.316	-0.569	0.696	0.162	0.683	0.703	0.288	0.629	0.311	0.000	0.427	0.669	-1.938	0.618	0.692	0.412	-2.917	0.682	0.700	-1.333	0.532	-6.833	0.540	0	-8.400	0.632	0.200	-0.268	0.662	0.629	-4.222	0.768	0.338
1.000	-3.800	0.200	0.000	-3.800	-2.000	-2.400	-1.200	1.000	-1.400	0.200	0.800	0.200	0.400	1.000	0.000	-0.400	0.400	1.000	0.600	-3.600	0.600	-8.600	1.000	-11.200	-8.400	0	0.600	0.200	-0.200	-5.400	0.400	1.000	0.000	0.200
0.909	0.732	0.895	0.863	0.789	0.770	0.842	0.917	0.970	0.850	0.919	0.917	0.933	0.947	0.875	0.962	0.872	0.963	0.750	0.962	0.782	0.810	0.564	0.667	0.526	0.632	0.600	0	0.908	0.829	0.707	0.925	0.778	0.887	0.922
0.848	0.554	0.877	0.824	0.569	0.708	0.600	0.785	0.938	0.785	0.846	0.875	0.846	0.877	0.750	0.892	0.831	0.923	0.667	0.908	0.508	0.714	0.169	0.333	0.000	0.200	0.200	0.908	0	0.683	0.415	0.908	0.556	0.862	0.846
0.818	0.293	0.756	0.756	0.268	0.512	0.390	0.659	0.854	0.585	0.732	0.854	0.732	0.805	0.688	0.780	0.732	0.829	0.583	0.829	0.293	0.619	-0.317	0.167	-0.634	-0.268	-0.200	0.829	0.683	0	0.098	0.829	0.333	0.732	0.707
-0.030	0.423	0.474	0.255	0.751	-0.432	0.741	0.762	0.500	0.897	0.311	0.208	0.573	0.735	-1.125	0.708	0.861	0.550	-1.667	0.771	0.852	-0.619	0.762	-4.333	0.757	0.662	-5.400	0.707	0.415	0.098	0	0.785	-2.556	0.812	0.481
0.909	0.691	0.908	0.706	0.812	0.770	0.898	0.951	0.970	0.919	0.919	0.938	0.921	0.907	0.875	0.861	-0.032	0.963	0.750	0.975	0.860	0.810	0.704	0.667	0.661	0.629	0.400	0.925	0.908	0.829	0.785	0	0.778	0.957	0.909
0.556	-1.667	0.556	0.444	-1.667	-0.667	-0.889	-0.667	1.000	-0.222	0.556	0.889	0.556	0.667	1.000	0.778	0.333	1.000	1.000	0.778	-1.667	0.778	-4.222	1.000	-5.778	-4.222	1.000	0.778	0.556	0.333	-2.556	0.778	0	0.333	0.556
0.848	0.701	0.868	0.804	0.862	0.730	0.883	0.930	0.924	0.862	0.851	0.875	0.899	0.940	0.688	0.931	0.938	0.925	0.500	0.924	0.844	0.667	0.098	0.167	0.705	0.768	0.000	0.887	0.862	0.732	0.812	0.957	0.333	0	0.870
0.848	0.636	0.895	0.824	0.636	0.743	0.701	0.857	0.909	0.818	0.878	0.896	0.896	0.896	0.750	0.883	0.831	0.922	0.667	0.909	0.558	0.667	0.299	0.333	0.156	0.338	0.200	0.922	0.846	0.707	0.481	0.909	0.556	0.870	0
